num_measurements,num_modules,lda1,lda2,sparsity,gene_set_size,avg_best_score
10,10,4.0,0.1,0.01,1000,0.3769164967637968
10,10,4.0,0.1,0.027500000000000004,1000,0.4059382726585766
10,10,4.0,0.325,0.027500000000000004,500,0.36823395069900594
10,10,4.0,0.325,0.0625,500,0.3781400051178149
10,10,4.0,0.1,0.08,500,0.3334193252725181
10,10,4.0,0.325,0.045000000000000005,500,0.3984323343873058
10,10,4.0,0.55,0.01,500,0.3859489045577909
10,10,4.0,0.325,0.08,1000,0.4887393361854264
10,10,4.0,0.55,0.027500000000000004,500,0.37608211853919105
10,10,4.0,0.325,0.01,500,0.3502088123823052
10,10,4.0,0.325,0.01,5000,0.509902452816891
10,10,4.0,0.325,0.08,500,0.38162025230755714
10,10,4.0,0.325,0.045000000000000005,1000,0.4439483326743797
10,10,4.0,0.1,0.045000000000000005,1000,0.39994400291511856
10,10,4.0,0.325,0.0625,1000,0.4962968845810002
10,10,4.0,0.1,0.027500000000000004,500,0.34953720611016903
10,10,4.0,0.1,0.0625,5000,0.4776101920799639
10,10,4.0,0.325,0.045000000000000005,5000,0.496518430093264
10,10,4.0,0.325,0.08,5000,0.5342133918271347
10,10,4.0,0.55,0.01,1000,0.48713654116088756
10,10,4.0,0.1,0.027500000000000004,5000,0.4633485033879806
10,10,4.0,0.1,0.08,5000,0.482872145910959
10,10,4.0,0.325,0.027500000000000004,5000,0.5017216441820274
10,10,4.0,0.325,0.0625,5000,0.5345964793863447
10,10,4.0,0.55,0.045000000000000005,500,0.4246144267502257
10,10,4.0,0.1,0.01,500,0.28230023404873317
10,10,4.0,0.55,0.027500000000000004,1000,0.51761012621884
10,10,4.0,0.55,0.01,5000,0.5365446504293082
10,10,4.0,0.55,0.045000000000000005,1000,0.5520570451394102
10,10,4.0,0.55,0.0625,500,0.4220227988449284
10,10,4.0,0.325,0.027500000000000004,1000,0.5221761503739422
10,10,4.0,0.1,0.0625,500,0.3379582967820036
10,10,4.0,0.1,0.045000000000000005,500,0.34366907851648987
10,10,4.0,0.1,0.08,1000,0.4066706361651054
10,10,4.0,0.1,0.0625,1000,0.3779643287251957
10,10,4.0,0.325,0.01,1000,0.3945491690402735
10,10,4.0,0.1,0.045000000000000005,5000,0.4640693245303953
10,10,4.0,0.1,0.01,5000,0.46016348828412157
10,10,4.0,0.775,0.08,1000,0.5182500271234359
10,10,4.0,0.775,0.0625,500,0.4286860109317197
10,10,4.0,0.55,0.08,500,0.4314090603920523
10,10,4.0,0.775,0.01,500,0.3608858333685325
10,10,4.0,0.55,0.08,1000,0.42172986557959974
10,10,4.0,0.55,0.0625,1000,0.4804223613143206
10,10,4.0,0.775,0.01,1000,0.5554261138004779
10,10,4.0,0.775,0.045000000000000005,500,0.4276843858310504
10,10,4.0,0.775,0.045000000000000005,1000,0.5300877886875588
10,10,4.0,0.775,0.027500000000000004,1000,0.3664663133025622
10,10,4.0,0.55,0.08,5000,0.5775628141360584
10,10,4.0,0.775,0.0625,1000,0.503159442465542
10,10,4.0,0.775,0.045000000000000005,5000,0.5946105988117087
10,10,4.0,0.55,0.0625,5000,0.5640360696840725
10,10,4.0,1.0,0.01,500,0.3665905382963089
10,10,4.0,0.55,0.027500000000000004,5000,0.5600228634424617
10,10,4.0,0.775,0.01,5000,0.5764332894124788
10,10,4.0,0.775,0.08,5000,0.5985307268743536
10,10,4.0,0.775,0.027500000000000004,500,0.3792608343993344
10,10,4.0,0.775,0.027500000000000004,5000,0.5831991604907752
10,10,4.0,0.775,0.0625,5000,0.6005019003988976
10,10,4.0,0.55,0.045000000000000005,5000,0.5629897181894816
10,10,4.0,0.775,0.08,500,0.4198206424690302
10,10,4.0,1.0,0.01,1000,0.4426616125824198
10,10,4.0,1.0,0.027500000000000004,500,0.45115951848066665
10,10,4.0,1.0,0.027500000000000004,1000,0.5380858515462827
10,10,6.5,0.1,0.027500000000000004,500,0.3461455216181327
10,10,4.0,1.0,0.01,5000,0.5710706727318328
10,10,6.5,0.1,0.01,500,0.31909878637027594
10,10,6.5,0.1,0.027500000000000004,1000,0.42153301722029274
10,10,6.5,0.1,0.0625,500,0.33916244280783264
10,10,6.5,0.1,0.01,5000,0.44863219296938056
10,10,4.0,1.0,0.08,5000,0.6182387129799309
10,10,6.5,0.1,0.027500000000000004,5000,0.45396688300638405
10,10,4.0,1.0,0.0625,5000,0.6156300365516867
10,10,6.5,0.1,0.08,500,0.33688002873675504
10,10,4.0,1.0,0.08,500,0.4570627088369351
10,10,6.5,0.1,0.0625,5000,0.46329261090829393
10,10,6.5,0.1,0.045000000000000005,500,0.312861770334742
10,10,4.0,1.0,0.0625,500,0.45059887033336493
10,10,4.0,1.0,0.045000000000000005,500,0.46332727655910616
10,10,4.0,1.0,0.045000000000000005,1000,0.44049207634425624
10,10,4.0,1.0,0.08,1000,0.561167500488985
10,10,4.0,1.0,0.0625,1000,0.5212447721916493
10,10,6.5,0.1,0.08,5000,0.4543024098588873
10,10,6.5,0.1,0.045000000000000005,1000,0.4441825371682532
