repeat_id,num_cells,lda2,num_measurements,gene_set_size,lda1,sparsity,best_score
1,10000,0.8,100,1000,8.0,0.02,0.721538692886586
2,10000,0.8,100,1000,8.0,0.02,0.7136876617215908
3,10000,0.8,100,1000,8.0,0.02,0.7227355422321491
4,10000,0.8,100,1000,8.0,0.02,0.7337806341822647
5,10000,0.8,100,1000,8.0,0.02,0.7248210859442125
6,10000,0.8,100,1000,8.0,0.02,0.729990852667075
7,10000,0.8,100,1000,8.0,0.02,0.7145109761039683
8,10000,0.8,100,1000,8.0,0.02,0.7006015808476076
9,10000,0.8,100,1000,8.0,0.02,0.7172917773231984
10,10000,0.8,100,1000,8.0,0.02,0.7082223010960902
1,1000,0.8,100,1000,8.0,0.02,0.8354960538091172
2,1000,0.8,100,1000,8.0,0.02,0.8176119937490373
3,1000,0.8,100,1000,8.0,0.02,0.819430061338525
4,1000,0.8,100,1000,8.0,0.02,0.8223175204868977
5,1000,0.8,100,1000,8.0,0.02,0.8100407571825917
6,1000,0.8,100,1000,8.0,0.02,0.8256939521212332
7,1000,0.8,100,1000,8.0,0.02,0.8255663509049465
8,1000,0.8,100,1000,8.0,0.02,0.7938938078631599
9,1000,0.8,100,1000,8.0,0.02,0.8484211963501381
10,1000,0.8,100,1000,8.0,0.02,0.8101432306029983
1,1000,0.2,100,1000,8.0,0.02,0.7547517636918303
2,1000,0.2,100,1000,8.0,0.02,0.7649946051367883
3,1000,0.2,100,1000,8.0,0.02,0.759711351413977
4,1000,0.2,100,1000,8.0,0.02,0.7405537773850567
5,1000,0.2,100,1000,8.0,0.02,0.7661481951316932
6,1000,0.2,100,1000,8.0,0.02,0.7427700211486363
7,1000,0.2,100,1000,8.0,0.02,0.7639653500698407
8,1000,0.2,100,1000,8.0,0.02,0.7648817027044872
9,1000,0.2,100,1000,8.0,0.02,0.74324513118139
10,1000,0.2,100,1000,8.0,0.02,0.7402324531303446
1,20000,0.2,100,1000,8.0,0.02,0.5913718956629825
2,20000,0.2,100,1000,8.0,0.02,0.5915306515679835
3,20000,0.2,100,1000,8.0,0.02,0.5467922173069302
4,20000,0.2,100,1000,8.0,0.02,0.5966799974394958
5,20000,0.2,100,1000,8.0,0.02,0.5886202015144062
6,20000,0.2,100,1000,8.0,0.02,0.5770579969627332
7,20000,0.2,100,1000,8.0,0.02,0.5749075810291997
8,20000,0.2,100,1000,8.0,0.02,0.6023977196463919
9,20000,0.2,100,1000,8.0,0.02,0.5938494885894782
10,20000,0.2,100,1000,8.0,0.02,0.569666628796463
1,10000,0.2,100,1000,8.0,0.02,0.6241946577457073
2,10000,0.2,100,1000,8.0,0.02,0.6320968407710628
3,10000,0.2,100,1000,8.0,0.02,0.6241927208089555
4,10000,0.2,100,1000,8.0,0.02,0.6099312395154924
5,10000,0.2,100,1000,8.0,0.02,0.6377880914088149
6,10000,0.2,100,1000,8.0,0.02,0.6381156447704476
7,10000,0.2,100,1000,8.0,0.02,0.61684838174352
8,10000,0.2,100,1000,8.0,0.02,0.6159187734086138
9,10000,0.2,100,1000,8.0,0.02,0.6281392535200521
10,10000,0.2,100,1000,8.0,0.02,0.630901948870121
1,1000,2.0,100,1000,8.0,0.02,0.8436948016069533
2,1000,2.0,100,1000,8.0,0.02,0.8512875332029093
3,1000,2.0,100,1000,8.0,0.02,0.8658904451250755
4,1000,2.0,100,1000,8.0,0.02,0.8519490719135735
5,1000,2.0,100,1000,8.0,0.02,0.8585012838280641
6,1000,2.0,100,1000,8.0,0.02,0.859025353649338
7,1000,2.0,100,1000,8.0,0.02,0.8407239585738787
8,1000,2.0,100,1000,8.0,0.02,0.8629925132107928
9,1000,2.0,100,1000,8.0,0.02,0.831169858244285
10,1000,2.0,100,1000,8.0,0.02,0.8539214469564037
1,50000,0.2,100,1000,8.0,0.02,0.5488619213977637
2,50000,0.2,100,1000,8.0,0.02,0.5582852914844557
3,50000,0.2,100,1000,8.0,0.02,0.5406524731812682
4,50000,0.2,100,1000,8.0,0.02,0.5500420751559222
5,50000,0.2,100,1000,8.0,0.02,0.5584259213698484
6,50000,0.2,100,1000,8.0,0.02,0.5587817314321457
7,50000,0.2,100,1000,8.0,0.02,0.5463736988798457
8,50000,0.2,100,1000,8.0,0.02,0.5568043185724711
9,50000,0.2,100,1000,8.0,0.02,0.5391695642644855
10,50000,0.2,100,1000,8.0,0.02,0.539034720951414
1,75000,0.2,100,1000,8.0,0.02,0.4554878759571505
2,75000,0.2,100,1000,8.0,0.02,0.523303153432222
3,75000,0.2,100,1000,8.0,0.02,0.5384408948452855
4,75000,0.2,100,1000,8.0,0.02,0.5389955085156877
5,75000,0.2,100,1000,8.0,0.02,0.5290181952384041
6,75000,0.2,100,1000,8.0,0.02,0.5374430046495011
7,75000,0.2,100,1000,8.0,0.02,0.5459561708628875
8,75000,0.2,100,1000,8.0,0.02,0.533942936843075
9,75000,0.2,100,1000,8.0,0.02,0.5309186839127861
10,75000,0.2,100,1000,8.0,0.02,0.5211302110530042
1,1000,4.0,100,1000,8.0,0.02,0.8732031930577931
2,1000,4.0,100,1000,8.0,0.02,0.9047358547902573
3,1000,4.0,100,1000,8.0,0.02,0.8747456234290137
4,1000,4.0,100,1000,8.0,0.02,0.8201898363691458
5,1000,4.0,100,1000,8.0,0.02,0.8345499833922551
6,1000,4.0,100,1000,8.0,0.02,0.8646457247188782
7,1000,4.0,100,1000,8.0,0.02,0.8319073403215297
8,1000,4.0,100,1000,8.0,0.02,0.8771992291609875
9,1000,4.0,100,1000,8.0,0.02,0.8798168254967129
10,1000,4.0,100,1000,8.0,0.02,0.8540591060597423
1,20000,0.8,100,1000,8.0,0.02,0.6597766609539648
2,20000,0.8,100,1000,8.0,0.02,0.564884383263377
3,20000,0.8,100,1000,8.0,0.02,0.672416789290458
4,20000,0.8,100,1000,8.0,0.02,0.6668254242321301
5,20000,0.8,100,1000,8.0,0.02,0.5415934226773363
6,20000,0.8,100,1000,8.0,0.02,0.6588218215365241
7,20000,0.8,100,1000,8.0,0.02,0.6568923145460724
8,20000,0.8,100,1000,8.0,0.02,0.6599496202457452
9,20000,0.8,100,1000,8.0,0.02,0.6477452120148286
10,20000,0.8,100,1000,8.0,0.02,0.6767561865621827
1,10000,2.0,100,1000,8.0,0.02,0.7836298964400756
2,10000,2.0,100,1000,8.0,0.02,0.7856395915455094
3,10000,2.0,100,1000,8.0,0.02,0.6676124471431036
4,10000,2.0,100,1000,8.0,0.02,0.7879892498413832
5,10000,2.0,100,1000,8.0,0.02,0.7849755704965993
6,10000,2.0,100,1000,8.0,0.02,0.8002847044542079
7,10000,2.0,100,1000,8.0,0.02,0.7663398654277642
8,10000,2.0,100,1000,8.0,0.02,0.78374939613179
9,10000,2.0,100,1000,8.0,0.02,0.7528861654441221
10,10000,2.0,100,1000,8.0,0.02,0.7806691624340021
1,20000,2.0,100,1000,8.0,0.02,0.7267390885537147
2,20000,2.0,100,1000,8.0,0.02,0.7391953913581468
3,20000,2.0,100,1000,8.0,0.02,0.7654528530172371
4,20000,2.0,100,1000,8.0,0.02,0.7267967973253627
5,20000,2.0,100,1000,8.0,0.02,0.7371306868430123
6,20000,2.0,100,1000,8.0,0.02,0.7472759642597654
7,20000,2.0,100,1000,8.0,0.02,0.7473253483139755
8,20000,2.0,100,1000,8.0,0.02,0.7307478059300913
9,20000,2.0,100,1000,8.0,0.02,0.7506412326878026
10,20000,2.0,100,1000,8.0,0.02,0.7257604263279156
1,1000,8.0,100,1000,8.0,0.02,0.8887639860003111
2,1000,8.0,100,1000,8.0,0.02,0.7968331844333456
3,1000,8.0,100,1000,8.0,0.02,0.8348907916601027
4,1000,8.0,100,1000,8.0,0.02,0.8968783019454152
5,1000,8.0,100,1000,8.0,0.02,0.7999379695793316
6,1000,8.0,100,1000,8.0,0.02,0.8421811383586725
