repeat_id,num_cells,num_modules,num_measurements,gene_set_size,lda1,lda2,sparsity,best_score
4,20000,100,100,1000,8.0,10.0,0.02,0.8120255257632151
5,20000,100,100,1000,8.0,10.0,0.02,0.7991013763726578
6,20000,100,100,1000,8.0,10.0,0.02,0.7715801367096798
7,20000,100,100,1000,8.0,10.0,0.02,0.8180427373238226
8,20000,100,100,1000,8.0,10.0,0.02,0.8047269146438172
9,20000,100,100,1000,8.0,10.0,0.02,0.7941155799386274
10,20000,100,100,1000,8.0,10.0,0.02,0.7002525979592173
1,20000,70,100,1000,8.0,10.0,0.02,0.8238606470470373
2,20000,70,100,1000,8.0,10.0,0.02,0.8167938012232991
3,20000,70,100,1000,8.0,10.0,0.02,0.6566015026195852
4,20000,70,100,1000,8.0,10.0,0.02,0.7419465807511387
5,20000,70,100,1000,8.0,10.0,0.02,0.8196823030425617
6,20000,70,100,1000,8.0,10.0,0.02,0.8362849554714974
7,20000,70,100,1000,8.0,10.0,0.02,0.8153149088731046
8,20000,70,100,1000,8.0,10.0,0.02,0.8219221986571716
9,20000,70,100,1000,8.0,10.0,0.02,0.8155761372832675
10,20000,70,100,1000,8.0,10.0,0.02,0.7998792526586156
1,50000,40,100,1000,8.0,10.0,0.02,0.7899505902678892
2,50000,40,100,1000,8.0,10.0,0.02,0.790392640173141
3,50000,40,100,1000,8.0,10.0,0.02,0.7929500023878385
4,50000,40,100,1000,8.0,10.0,0.02,0.7915585915158365
5,50000,40,100,1000,8.0,10.0,0.02,0.7723836180970736
6,50000,40,100,1000,8.0,10.0,0.02,0.7878538560016699
7,50000,40,100,1000,8.0,10.0,0.02,0.7965523595621297
8,50000,40,100,1000,8.0,10.0,0.02,0.7828196356652442
9,50000,40,100,1000,8.0,10.0,0.02,0.789170519202265
10,50000,40,100,1000,8.0,10.0,0.02,0.7942331343406267
1,50000,70,100,1000,8.0,10.0,0.02,0.8138329986134385
2,50000,70,100,1000,8.0,10.0,0.02,0.7763833081427275
3,50000,70,100,1000,8.0,10.0,0.02,0.7856696650014492
4,50000,70,100,1000,8.0,10.0,0.02,0.7842109935349998
5,50000,70,100,1000,8.0,10.0,0.02,0.7592357113582772
6,50000,70,100,1000,8.0,10.0,0.02,0.7848096714264241
7,50000,70,100,1000,8.0,10.0,0.02,0.7862424475676953
8,50000,70,100,1000,8.0,10.0,0.02,0.7756104092870412
9,50000,70,100,1000,8.0,10.0,0.02,0.793756320417844
10,50000,70,100,1000,8.0,10.0,0.02,0.7900466512258136
1,50000,100,100,1000,8.0,10.0,0.02,0.7576800226116741
2,50000,100,100,1000,8.0,10.0,0.02,0.7494423815359313
3,50000,100,100,1000,8.0,10.0,0.02,0.740913468933257
4,50000,100,100,1000,8.0,10.0,0.02,0.7676920396847504
5,50000,100,100,1000,8.0,10.0,0.02,0.7635067228074944
6,50000,100,100,1000,8.0,10.0,0.02,0.770904457128099
7,50000,100,100,1000,8.0,10.0,0.02,0.7537300777181107
8,50000,100,100,1000,8.0,10.0,0.02,0.7695937803685673
9,50000,100,100,1000,8.0,10.0,0.02,0.7615097725332882
10,50000,100,100,1000,8.0,10.0,0.02,0.7819361694279513
1,100000,70,100,1000,8.0,10.0,0.02,0.73427492085332
2,100000,70,100,1000,8.0,10.0,0.02,0.740803691521998
3,100000,70,100,1000,8.0,10.0,0.02,0.7315219236977638
4,100000,70,100,1000,8.0,10.0,0.02,0.7430518694289451
5,100000,70,100,1000,8.0,10.0,0.02,0.735189844401163
6,100000,70,100,1000,8.0,10.0,0.02,0.7317267880209392
7,100000,70,100,1000,8.0,10.0,0.02,0.7296544492590911
8,100000,70,100,1000,8.0,10.0,0.02,0.7436029150383208
9,100000,70,100,1000,8.0,10.0,0.02,0.7384698330546283
10,100000,70,100,1000,8.0,10.0,0.02,0.759397971561728
1,100000,100,100,1000,8.0,10.0,0.02,0.7467788190181631
2,100000,100,100,1000,8.0,10.0,0.02,0.7262521802618689
3,100000,100,100,1000,8.0,10.0,0.02,0.748265466559243
4,100000,100,100,1000,8.0,10.0,0.02,0.7391708486941617
5,100000,100,100,1000,8.0,10.0,0.02,0.7495886493674222
6,100000,100,100,1000,8.0,10.0,0.02,0.7529226540181937
